City,Doctor,E X A M   T Y P E,Metric Selection - Clinical Products - Prefix,Metric Selection - Clinical Products - Sufix,Performer Type,State,Store,Brand,Company Category,Current Period - Filter,Arrived Date,cities,Last Update,Prescribed and Sold (Units) - MacuHealth,PrescribedMacuHealth,UnitsMacuHealth
Fortaleza,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Ceará,53 - Dixie Iris,Eye You Care,Corporate,True,3/27/2023 3:57:23 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Cascavel,Dr. Bruno Rodrigues,Examination,$,,Remote,Paraná,159 - Urera,Eye You Care,Corporate,True,3/27/2023 11:32:02 AM,Cascavel - Paraná,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,17 - Kohlmeyera Lichen,Eye You Care,Corporate,True,3/27/2023 9:40:16 AM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Recife,Dra. Júlia Guimarães,Examination,$,,Remote,Pernambuco,62 - Ebony Coccuswood,Eye You Care,Corporate,True,3/27/2023 10:53:48 AM,Recife - Pernambuco,"28 March, 2023",0,0,0
Vitória,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Espírito Santo,212 - Wailupe Valley Treecotton,Eye You Care,Corporate,True,3/28/2023 4:22:46 PM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,1 - Munz's Hedgehog Cactus,Eye You Care,Corporate,True,3/27/2023 2:00:45 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Examination,$,,Remote,Santa Catarina,94 - Texas False Agave,Eye You Care,Corporate,True,3/28/2023 9:15:12 AM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Londrina,Dra. Júlia Guimarães,Examination,$,,Remote,Paraná,12 - Slender Pinepink,Eye You Care,Corporate,True,3/27/2023 10:01:07 AM,Londrina - Paraná,"28 March, 2023",0,0,0
Brasília,Dr. Tiago Martins,Contact Lens Exam,$,,Remote,Distrito Federal,259 - Geyer's Onion,Eye You Care,Corporate,True,3/26/2023 2:41:26 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Fortaleza,Dra. Beatriz Carvalho,Contact Lens Exam,$,,Onsite,Ceará,91 - Micrandra,Eye You Care,Corporate,True,3/27/2023 3:53:36 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Examination,$,,Onsite,Distrito Federal,259 - Geyer's Onion,Eye You Care,Corporate,True,3/27/2023 10:59:09 AM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Fortaleza,Dra. Beatriz Carvalho,Contact Lens Exam,$,,Onsite,Ceará,91 - Micrandra,Eye You Care,Corporate,True,3/28/2023 9:53:52 AM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Belo Horizonte,Dr. Gustavo Souza,Contact Lens Exam,$,,Remote,Minas Gerais,19 - Chilean Clover,Eye You Care,Corporate,True,3/27/2023 11:49:02 AM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Ceará,17 - Kohlmeyera Lichen,Eye You Care,Corporate,True,3/28/2023 1:37:26 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Santa Catarina,70 - Hedgehog Gourd,Eye You Care,Corporate,True,3/28/2023 10:09:54 AM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
